OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,SHAPE_Length,SHAPE_Area
104,EED,NEEDLES AIRPORT,NEEDLES,Needles,San Bernardino,Regional,REGIONAL,General Aviation,01938.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=EED,13672.9529849388,4783355.85047346
105,E55,OCEAN RIDGE AIRPORT,OCEAN RIDGE,Gualala,Mendocino,Community,COMMUNITY,Not a NPIAS Facility,01635.85*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=E55,4454.9119074064,805321.37981716
106,E45,PINE MOUNTAIN LAKE AIRPORT,PINE MOUNTAIN LAKE,Groveland,Tuolumne,Community,COMMUNITY-Recreation,General Aviation,01635.61*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=E45,4429.15388160728,334928.215391942
107,D86,SEQUOIA FIELD,SEQUOIA FIELD,Visalia,Tulare,Community,COMMUNITY-Agriculture,General Aviation,01509.1*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=D86,4353.44921651075,863179.857580961
108,E79,SIERRA SKY PARK AIRPORT,SIERRA SKY PARK,Fresno,Fresno,Community,COMMUNITY,Not a NPIAS Facility,01591.5*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=E79,2711.78564203678,201685.605250086
109,EDU,UNIVERSITY AIRPORT,UNIVERSITY,Davis,Yolo,Community,COMMUNITY,General Aviation,01488.1*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=EDU,4192.45547310062,532210.295057983
110,DWA,YOLO COUNTY-DAVIS WOODLAND WINTERS AIRPORT,YOLO COUNTY,Davis/Woodland/Winters,Yolo,Community,COMMUNITY-Agriculture,General Aviation,01488.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=DWA,8449.85085668556,3272714.43204109
111,AUN,AUBURN MUNICIPAL AIRPORT,AUBURN MUNI,Auburn,Placer,Regional,REGIONAL-Business/Corporate,General Aviation,01273.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=AUN,7149.72731281305,1847052.47409874
112,L45,BAKERSFIELD MUNICIPAL AIRPORT,BAKERSFIELD MUNI,Bakersfield,Kern,Regional,REGIONAL,General Aviation,01289.1*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=L45,5860.54258631455,1052638.50407083
113,DAG,BARSTOW-DAGGETT AIRPORT,BARSTOW-DAGGETT,Daggett,San Bernardino,Regional,REGIONAL,General Aviation,01479.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=DAG,10916.3163113431,6347469.03301828
